SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1
NY0030708,THOMPSON MELODY LAKE SEWER DISTRICT STP,Surface,0.04,HEMLOCK LN - S SIDE - W OF PINE LN,MONTICELLO,NY,USA,12701,41.59,-74.66,"HEMLOCK LN - S SIDE - W OF PINE LN
MONTICELLO, NY 12701
(41.59, -74.66)"
NY0030716,THOMPSON SACKETT LAKE SEWER DIS STP,Surface,0.50,SACKETT LAKE RD - 0.3 MILES NORTH OF SQUIRREL CORNERS,MONTICELLO,NY,USA,12701,41.60,-74.75,"SACKETT LAKE RD - 0.3 MILES NORTH OF SQUIRREL CORNERS
MONTICELLO, NY 12701
(41.60, -74.75)"
NY0036706,TICONDEROGA SEWER DIST #5 WPCP,Surface,1.70,219 MONTCALM ST,TICONDEROGA,NY,USA,12883,43.85,-73.41,"219 MONTCALM ST
TICONDEROGA, NY 12883
(43.85, -73.41)"
NY0026093,TITUSVILLE SD STP,Surface,0.17,SCENIC HILLS RD - NW SIDE - E OF CO RTE 21 @ CO RTE 49,LAGRANGEVILLE,NY,USA,12540,41.66,-73.84,"SCENIC HILLS RD - NW SIDE - E OF CO RTE 21 @ CO RTE 49
LAGRANGEVILLE, NY 12540
(41.66, -73.84)"
NY0264989,TITUSVILLE WASTEWATER TREATMENT PLANT,Surface,0.50,OVERLOOK RD,LAGRANGE,NY,USA,12540,41.68,-73.86,"OVERLOOK RD
LAGRANGE, NY 12540
(41.68, -73.86)"
NY0022098,TIVOLI WWTF,Surface,0.10,MONTGOMERY ST,TIVOLI,NY,USA,12583,42.05,-73.90,"MONTGOMERY ST
TIVOLI, NY 12583
(42.05, -73.90)"
NY0020371,TONAWANDA PUMP STATION SANITARY SEWER OVERFLOW,Surface,0.00,170 NIAGARA ST,TONAWANDA,NY,USA,14150,43.02,-78.88,"170 NIAGARA ST
TONAWANDA, NY 14150
(43.02, -78.88)"
NY0026395,TONAWANDA WASTEWATER TREATMENT FACILITY,Surface,30.00,779 TWO MILE CREEK RD,TONAWANDA,NY,USA,14150,42.99,-78.90,"779 TWO MILE CREEK RD
TONAWANDA, NY 14150
(42.99, -78.90)"
NY0025739,TOWN OF BETHLEHEM - CEDAR HILL WPCP,Surface,6.00,98 DINMORE RD & ST RTE 144,SELKIRK,NY,USA,12158,42.54,-73.76,"98 DINMORE RD &amp; ST RTE 144
SELKIRK, NY 12158
(42.54, -73.76)"
NY0093688,TOWN OF BOLTON WWTP,Ground,0.30,BROOK ST EXT,BOLTON LANDING,NY,USA,12814,43.55,-73.66,"BROOK ST EXT
BOLTON LANDING, NY 12814
(43.55, -73.66)"
NY0209601,TOWN OF BROOKHAVEN SEWER DISTRICT #2,Ground,0.20,LIE & WILLIAM FLOYD PKWY,YAPHANK,NY,USA,11980,40.84,-72.88,"LIE &amp; WILLIAM FLOYD PKWY
YAPHANK, NY 11980
(40.84, -72.88)"
NY0277827,TOWN OF BROOKHAVEN SEWER DISTRICT #2,Ground,0.20,LIE & WILLIAM FLOYD PKWY,YAPHANK,NY,USA,11980,40.84,-72.88,"LIE &amp; WILLIAM FLOYD PKWY
YAPHANK, NY 11980
(40.84, -72.88)"
NY0233200,TOWN OF CHENANGO SEWER DISTRICT # 10,Surface,0.04,CASTLE CREEK RD @ PENNVIEW APTS,CHENANGO,NY,USA,,42.19,-75.90,"CASTLE CREEK RD @ PENNVIEW APTS
CHENANGO, NY
(42.19, -75.90)"
NY0203360,TOWN OF ELMA SEWER DISTRICT NO 7,Surface,0.02,CORNER OF BOWEN & BULLIS RD,ELMA,NY,USA,14059,42.83,-78.63,"CORNER OF BOWEN &amp; BULLIS RD
ELMA, NY 14059
(42.83, -78.63)"
NY0265217,TOWN OF HAGUE SEWER DISTRICT # 1,Ground,0.09,"DECKER HILL RD, DODD HILL RD, RT. 9N, RT 8",HAGUE,NY,USA,12836,43.74,-73.51,"DECKER HILL RD, DODD HILL RD, RT. 9N, RT 8
HAGUE, NY 12836
(43.74, -73.51)"
NY0105104,TOWN OF HANOVER SEWER DIST #1 STP,Surface,0.50,12784 BUFFALO RD,IRVING,NY,USA,14081,42.56,-79.10,"12784 BUFFALO RD
IRVING, NY 14081
(42.56, -79.10)"
NY0203858,TOWN OF HUME STP,Surface,0.05,20 N GENESEE ST,FILLMORE,NY,USA,14735,42.47,-78.10,"20 N GENESEE ST
FILLMORE, NY 14735
(42.47, -78.10)"
NY0027171,TOWN OF ONTARIO STP,Surface,1.00,2200 LAKE RD,ONTARIO,NY,USA,14519,43.27,-77.27,"2200 LAKE RD
ONTARIO, NY 14519
(43.27, -77.27)"
NY0258270,TOWN OF OTTO SD #1 STP,Surface,0.03,YOUNGS RD,OTTO,NY,USA,14766,42.35,-78.83,"YOUNGS RD
OTTO, NY 14766
(42.35, -78.83)"
NY0258202,TOWN OF RANDOLPH SEWER DISTRICT,Surface,0.07,6 JAMESTOWN ST|,RANDOLPH,NY,USA,14772,42.16,-78.97,"6 JAMESTOWN ST|
RANDOLPH, NY 14772
(42.16, -78.97)"
NY0027197,TOWN OF VIRGIL SEWER DISTRICT #1 WWTP,Surface,0.08,2000 ST RTE 392,CORTLAND,NY,USA,13045,42.50,-76.14,"2000 ST RTE 392
CORTLAND, NY 13045
(42.50, -76.14)"
NY0025704,TOWN OF WALWORTH SEWER DISTRICT #1 WWTP,Surface,1.25,3451 ONTARIO CTR RD,WALWORTH,NY,USA,14568,43.12,-77.29,"3451 ONTARIO CTR RD
WALWORTH, NY 14568
(43.12, -77.29)"
NY0023990,TOWN OF YORK WWTF,Surface,0.30,3479 RETSOF RD |AKA CALEDONIA RD @ BIDWELLS CREEK,RETSOF (YORK),NY,USA,14592,42.83,-77.88,"3479 RETSOF RD |AKA CALEDONIA RD @ BIDWELLS CREEK
RETSOF (YORK), NY 14592
(42.83, -77.88)"
NY0149209,TRI-MUNICIPAL WWTP,Surface,2.78,171 SHEAFE RD,WAPPINGERS FALLS,NY,USA,12590,41.60,-73.94,"171 SHEAFE RD
WAPPINGERS FALLS, NY 12590
(41.60, -73.94)"
NY0246999,TROUPSBURG WWTP,Surface,0.04,768 SPUR RD,TROUPSBURG,NY,USA,14885,42.03,-77.54,"768 SPUR RD
TROUPSBURG, NY 14885
(42.03, -77.54)"
NY0099309,TROY - C COMBINED SEWER OVERFLOWS,Surface,1.20,CITY-WIDE,TROY,NY,USA,12182,42.74,-73.68,"CITY-WIDE
TROY, NY 12182
(42.74, -73.68)"
NY0024902,TRUMANSBURG - V STP,Surface,0.25,35 LAKE ST,TRUMANSBURG,NY,USA,14886,42.54,-76.64,"35 LAKE ST
TRUMANSBURG, NY 14886
(42.54, -76.64)"
NY0026824,TULLY - V STP,Surface,0.23,GROVE ST,TULLY,NY,USA,13159,42.79,-76.10,"GROVE ST
TULLY, NY 13159
(42.79, -76.10)"
NY0029939,TUPPER LAKE WWTF,Surface,4.50,WATER ST,TUPPER LAKE,NY,USA,12986,44.23,-74.48,"WATER ST
TUPPER LAKE, NY 12986
(44.23, -74.48)"
NY0031216,TUXEDO PARK STP,Surface,0.40,WEE WAH RD - N END WEE WAH LAKE,TUXEDO PARK,NY,USA,10987,41.22,-74.19,"WEE WAH RD - N END WEE WAH LAKE
TUXEDO PARK, NY 10987
(41.22, -74.19)"
NY0021563,ULSTER SEWER DISTRICT SEWAGE TREATMENT PLANT,Surface,1.60,1101 DOGWOOD ST EXT,KINGSTON,NY,USA,12401,41.96,-74.00,"1101 DOGWOOD ST EXT
KINGSTON, NY 12401
(41.96, -74.00)"
NY0021571,ULSTER WHITTIER SEWER DIS STP,Surface,0.10,ULSTER LANDING RD - N OF ST RTE 199,KINGSTON,NY,USA,12401,41.98,-73.95,"ULSTER LANDING RD - N OF ST RTE 199
KINGSTON, NY 12401
(41.98, -73.95)"
NY0024228,UNION SPRINGS - V STP,Surface,0.33,CHAPEL ST,UNION SPRINGS,NY,USA,13160,42.84,-76.69,"CHAPEL ST
UNION SPRINGS, NY 13160
(42.84, -76.69)"
NY0031429,UTICA COMBINED SEWER OVERFLOWS,Surface,0.00,SEVERAL LOCATIONS,UTICA,NY,USA,13502,43.09,-75.24,"SEVERAL LOCATIONS
UTICA, NY 13502
(43.09, -75.24)"
NY0021806,VALATIE SEWAGE TREATMENT PLANT,Surface,0.25,OFF ST LUKES DR,VALATIE,NY,USA,12184,42.40,-73.68,"OFF ST LUKES DR
VALATIE, NY 12184
(42.40, -73.68)"
NY0077593,VALLEY DALE STP,Surface,0.04,68 FOREST VALLEY RD,PLEASANT VALLEY,NY,USA,12569,41.72,-73.81,"68 FOREST VALLEY RD
PLEASANT VALLEY, NY 12569
(41.72, -73.81)"
NY0261360,VALLEY FALLS WWTP,Surface,0.06,BET BOSTON  & MAINE RR & HOOSICK RIVER,VALLEY FALLS,NY,USA,,42.90,-73.56,"BET BOSTON &amp; MAINE RR &amp; HOOSICK RIVER
VALLEY FALLS, NY
(42.90, -73.56)"
NY0099295,VANDERBURGH COVE SEWER DISTRICT NO 1,Surface,0.01,COVE RD,RHINEBECK,NY,USA,12572,41.87,-73.92,"COVE RD
RHINEBECK, NY 12572
(41.87, -73.92)"
NY0208426,V-BLOOMINGBURG STP,Surface,0.07,MAIN ST (OLD RTE 17),BLOOMINGBURG,NY,USA,12721,41.55,-74.43,"MAIN ST (OLD RTE 17)
BLOOMINGBURG, NY 12721
(41.55, -74.43)"
NY0020249,VERNON SEWAGE TREATMENT PLANT PROPERTY,Surface,0.81,VAN EPPS RD,VERNON,NY,USA,13476,43.08,-75.54,"VAN EPPS RD
VERNON, NY 13476
(43.08, -75.54)"
NY0262749,VESTAL EMERGENCY SEWER OVERFLOWS,Surface,,"702 VESTAL PKWY E, 2400 VESTAL RD, 2014 VESTAL RD, 1801 VESTAL PKWY E & 1300 CAMPUS DR",VESTAL,NY,USA,13850,42.09,-76.02,"702 VESTAL PKWY E, 2400 VESTAL RD, 2014 VESTAL RD, 1801 VESTAL PKWY E &amp; 1300 CAMPUS DR
VESTAL, NY 13850
(42.09, -76.02)"
NY0020079,V-GREENPORT WASTEWATER TREAMENT PLANT,Surface,0.66,1885 MOORES LN,GREENPORT,NY,USA,11944,41.10,-72.37,"1885 MOORES LN
GREENPORT, NY 11944
(41.10, -72.37)"
NY0022713,VICTOR - V STP,Surface,0.50,BRACE RD,VICTOR,NY,USA,14564,42.97,-77.39,"BRACE RD
VICTOR, NY 14564
(42.97, -77.39)"
NY0257532,VILLAGE HERMON WASTEWATER TREATMENT,Surface,0.06,102 WATER STREET / CO RTE 17,HERMON,NY,USA,13652,44.47,-75.23,"102 WATER STREET / CO RTE 17
HERMON, NY 13652
(44.47, -75.23)"
NY0235890,VILLAGE OF ANTWERP WWTP,Surface,0.12,MAIN ST,ANTWERP,NY,USA,13608,44.19,-75.60,"MAIN ST
ANTWERP, NY 13608
(44.19, -75.60)"
NY0110434,VILLAGE OF BERGEN SEWAGE TREATMENT PLANT,Surface,0.21,6593 NORTH LAKE ST,BERGEN,NY,USA,14416,43.09,-77.93,"6593 NORTH LAKE ST
BERGEN, NY 14416
(43.09, -77.93)"
NY0251739,VILLAGE OF BROADALBIN WWTF,Surface,0.15,S SECOND AVE,BROADALBIN,NY,USA,12025,43.05,-74.20,"S SECOND AVE
BROADALBIN, NY 12025
(43.05, -74.20)"
NY0269336,VILLAGE OF CASTILE WWTP,Surface,0.18,PARK RD E,CASTILE,NY,USA,14427,42.62,-78.04,"PARK RD E
CASTILE, NY 14427
(42.62, -78.04)"
NY0029211,VILLAGE OF DEPOSIT WPCP,Surface,0.70,MILL ST,DEPOSIT,NY,USA,13754,42.05,-75.42,"MILL ST
DEPOSIT, NY 13754
(42.05, -75.42)"
NY0060992,VILLAGE OF FISHKILL STP,Surface,0.45,JACKSON ST,FISHKILL,NY,USA,12524,41.53,-73.90,"JACKSON ST
FISHKILL, NY 12524
(41.53, -73.90)"
NY0021547,VILLAGE OF GRANVILLE WWTP,Surface,0.65,METTAWEE ST,GRANVILLE,NY,USA,12832,43.41,-73.27,"METTAWEE ST
GRANVILLE, NY 12832
(43.41, -73.27)"
NY0024678,VILLAGE OF LYNDONVILLE WWTP,Surface,0.15,30 RAILROAD AVE,LYNDONVILLE,NY,USA,14098,43.32,-78.38,"30 RAILROAD AVE
LYNDONVILLE, NY 14098
(43.32, -78.38)"
NY0030376,VILLAGE OF MALONE WASTE WATER TREATMENT PLANT,Surface,3.30,4 LANE ST,MALONE,NY,USA,12953,44.86,-74.29,"4 LANE ST
MALONE, NY 12953
(44.86, -74.29)"
NY0252042,VILLAGE OF MAYFIELD WWTP,Surface,0.13,MAYFIELD LAKE,MAYFIELD,NY,USA,12117,43.09,-74.26,"MAYFIELD LAKE
MAYFIELD, NY 12117
(43.09, -74.26)"
NY0022331,VILLAGE OF MIDDLEPORT WWTF,Surface,0.70,3825 N HARTLAND ST,MIDDLEPORT,NY,USA,14105,43.22,-78.47,"3825 N HARTLAND ST
MIDDLEPORT, NY 14105
(43.22, -78.47)"
NY0025461,VILLAGE OF MINOA STP,Surface,0.99,KALINE DR,MINOA,NY,USA,13116,43.07,-75.99,"KALINE DR
MINOA, NY 13116
(43.07, -75.99)"
NY0026433,VILLAGE OF MONTGOMERY STP,Surface,0.50,BACHELOR ST - W END,MONTGOMERY,NY,USA,12549,41.52,-74.24,"BACHELOR ST - W END
MONTGOMERY, NY 12549
(41.52, -74.24)"
NY0022985,VILLAGE OF PERRY STP,Surface,0.97,WATER ST,PERRY,NY,USA,14530,42.72,-77.98,"WATER ST
PERRY, NY 14530
(42.72, -77.98)"
NY0030996,VILLAGE OF PHILMONT WWTP,Surface,0.25,ST RTE 217 - S SIDE - OPPOSITE CO RTE 9,PHILMONT,NY,USA,12565,42.25,-73.66,"ST RTE 217 - S SIDE - OPPOSITE CO RTE 9
PHILMONT, NY 12565
(42.25, -73.66)"
NY0235776,VILLAGE OF REMSEN WWTF,Surface,0.05,MIDDLE RD,REMSEN,NY,USA,,43.32,-75.18,"MIDDLE RD
REMSEN, NY
(43.32, -75.18)"
NY0207004,VILLAGE OF THERESA WWTF,Surface,0.07,124 COMMERCIAL ST,THERESA,NY,USA,13691,44.21,-75.80,"124 COMMERCIAL ST
THERESA, NY 13691
(44.21, -75.80)"
NY0250520,V/KIRYAS JOEL WWTP,Surface,0.01,BAKERTOWN RD,KIRYAS JOEL,NY,USA,10950,41.33,-74.15,"BAKERTOWN RD
KIRYAS JOEL, NY 10950
(41.33, -74.15)"
NY0243124,V - LANCASTER SEWER OVERFLOWS,Surface,0.00,WET WEATHER OVERFLOWS AT VARIOUS LOCATIONS,LANCASTER,NY,USA,14086,42.89,-78.67,"WET WEATHER OVERFLOWS AT VARIOUS LOCATIONS
LANCASTER, NY 14086
(42.89, -78.67)"
NY0030139,VOORHEESVILLE - V SD 1 STP,Surface,0.11,STONINGTON HILL RD,VOORHEESVILLE,NY,USA,12186,42.64,-73.92,"STONINGTON HILL RD
VOORHEESVILLE, NY 12186
(42.64, -73.92)"
NY0020621,V - WELLSVILLE WASTEWATER TREATMENT PLANT,Surface,2.20,152 BOLIVAR RD - ST RTE 417 W,WELLSVILLE,NY,USA,14895,42.12,-77.96,"152 BOLIVAR RD - ST RTE 417 W
WELLSVILLE, NY 14895
(42.12, -77.96)"
NY0030180,WADDINGTON WWTF,Surface,0.26,PINE ST,WADDINGTON,NY,USA,13694,44.86,-75.19,"PINE ST
WADDINGTON, NY 13694
(44.86, -75.19)"
NY0217760,WADHAMS SEWER DISTRICT WWTF,Surface,0.02,834 ST RTE 22,WADHAMS,NY,USA,12990,44.22,-73.45,"834 ST RTE 22
WADHAMS, NY 12990
(44.22, -73.45)"
NY0030490,WALDEN STP,Surface,1.20,BRADLEY LN,WALDEN,NY,USA,12586,41.56,-74.19,"BRADLEY LN
WALDEN, NY 12586
(41.56, -74.19)"
NY0024422,WALLKILL STP,Surface,4.00,600 ST RTE 211 E,MIDDLETOWN,NY,USA,10940,41.43,-74.36,"600 ST RTE 211 E
MIDDLETOWN, NY 10940
(41.43, -74.36)"
NY0027154,WALTON - V WWTP,Surface,1.55,SOUTH ST,WALTON,NY,USA,13856,42.16,-75.13,"SOUTH ST
WALTON, NY 13856
(42.16, -75.13)"
NY0021601,WAPPINGERS FLEETWOOD MANOR SEWER DIS,Surface,0.06,FLEETWOOD DR - W END,WAPPINGERS FALLS,NY,USA,12590,41.55,-73.91,"FLEETWOOD DR - W END
WAPPINGERS FALLS, NY 12590
(41.55, -73.91)"
NY0026131,WARDS ISLAND WASTEWATER TREATMENT PLANT,Surface,275.00,WARDS ISLAND - E SIDE,NEW YORK,NY,USA,10035,40.78,-73.92,"WARDS ISLAND - E SIDE
NEW YORK, NY 10035
(40.78, -73.92)"
NY0248720,WARRENSBURG SEWER DISTRICT # 1,Surface,0.25,98 MAIN ST,WARRENSBURG,NY,USA,12885,43.47,-73.79,"98 MAIN ST
WARRENSBURG, NY 12885
(43.47, -73.79)"
NY0021504,WARSAW STP,Surface,1.20,PURDY AVE,WARSAW,NY,USA,14569,42.75,-78.13,"PURDY AVE
WARSAW, NY 14569
(42.75, -78.13)"
NY0021890,WARWICK SEWER DIS 1 STP,Surface,0.43,50 STATE SCHOOL RD |E SIDE @ BEND TO WEST,WARWICK,NY,USA,10990,41.27,-74.29,"50 STATE SCHOOL RD |E SIDE @ BEND TO WEST
WARWICK, NY 10990
(41.27, -74.29)"
NY0023680,WARWICK STP,Surface,1.00,RIVER ST,WARWICK,NY,USA,10990,41.25,-74.37,"RIVER ST
WARWICK, NY 10990
(41.25, -74.37)"
NY0074900,WASHINGTON CO. S. D. NO. 1--INDUST. PARK,Surface,0.01,TREATMENT PLANT ROAD,KINGSBURY,NY,USA,12804,43.34,-73.60,"TREATMENT PLANT ROAD
KINGSBURY, NY 12804
(43.34, -73.60)"
NY0183695,WASHINGTON CO SEWER DIST #2,Surface,2.50,17 CORTLAND ST,FORT EDWARD,NY,USA,12828,43.26,-73.58,"17 CORTLAND ST
FORT EDWARD, NY 12828
(43.26, -73.58)"
NY0023671,WASHINGTONVILLE - V WWTF,Surface,0.70,1 WALT COLE BLVD,WASHINGTONVILLE,NY,USA,10992,41.42,-74.14,"1 WALT COLE BLVD
WASHINGTONVILLE, NY 10992
(41.42, -74.14)"
NY0029173,WATERFORD STP,Surface,1.50,41 MOHAWK AVE,WATERFORD,NY,USA,12188,42.78,-73.68,"41 MOHAWK AVE
WATERFORD, NY 12188
(42.78, -73.68)"
NY0022365,WATERLOO - V STP,Surface,0.80,E RIVER ST,WATERLOO,NY,USA,13165,42.89,-76.84,"E RIVER ST
WATERLOO, NY 13165
(42.89, -76.84)"
NY0099091,WATERTOWN SD #1,Surface,0.06,HOLCOMB ST|SUNSET RIDGE,WATERTOWN,NY,USA,13601,43.95,-75.93,"HOLCOMB ST|SUNSET RIDGE
WATERTOWN, NY 13601
(43.95, -75.93)"
NY0025984,WATERTOWN WATER POL CONTL FAC,Surface,15.90,700 WM T FIELD DR,WATERTOWN,NY,USA,13601,43.98,-75.92,"700 WM T FIELD DR
WATERTOWN, NY 13601
(43.98, -75.92)"
NY0028461,WATERVILLE STP,Surface,0.30,ST RTE 315 - ABOUT 0.95 MILES NW OF ST RTE 12,WATERVILLE,NY,USA,13480,42.94,-75.39,"ST RTE 315 - ABOUT 0.95 MILES NW OF ST RTE 12
WATERVILLE, NY 13480
(42.94, -75.39)"
NY0030899,WATERVLIET - V COMBINED SEWER OVERFLOWS,Surface,0.01,HUDSON RIVER,WATERVLIET,NY,USA,12189,42.70,-73.70,"HUDSON RIVER
WATERVLIET, NY 12189
(42.70, -73.70)"
NY0020524,WATKINS GLEN - V STP,Surface,0.70,N PORTER ST,WATKINS GLEN,NY,USA,14891,42.38,-76.86,"N PORTER ST
WATKINS GLEN, NY 14891
(42.38, -76.86)"
NY0031089,WAVERLY - V STP,Surface,1.35,424 CAYUTA AVE (ST RTE 34),WAVERLY,NY,USA,14892,42.00,-76.52,"424 CAYUTA AVE (ST RTE 34)
WAVERLY, NY 14892
(42.00, -76.52)"
NY0029718,WAWARSING NAPANOCH SIMPRO AREA STP,Surface,0.53,PLANK RD - N SIDE - NW OF INSTITUTION RD,NAPANOCH,NY,USA,,41.74,-74.36,"PLANK RD - N SIDE - NW OF INSTITUTION RD
NAPANOCH, NY
(41.74, -74.36)"
NY0062278,WAWAYANDA RIDGEBURY LAKE ACRES SEWER DIS,Surface,0.03,52 VIEW POINT DR,SLATE HILL,NY,USA,10973,41.38,-74.44,"52 VIEW POINT DR
SLATE HILL, NY 10973
(41.38, -74.44)"
NY0029149,WAWAYANDA ROBINN MEADOWS SEWER DIS,Surface,0.08,ROBINN DR OFF POCATELLO RD,SLATE HILL,NY,USA,10973,41.41,-74.49,"ROBINN DR OFF POCATELLO RD
SLATE HILL, NY 10973
(41.41, -74.49)"
NY0032999,WAYLAND - V STP,Surface,0.35,300 S MAIN ST|MILLEN ST EXT,WAYLAND,NY,USA,14572,42.56,-77.59,"300 S MAIN ST|MILLEN ST EXT
WAYLAND, NY 14572
(42.56, -77.59)"
NY0021610,WEBSTER-T STP/WW BRADLEY POLLUTION CONTROL FACILITY,Surface,7.50,226 PHILIPS RD,WEBSTER,NY,USA,14850,43.26,-77.41,"226 PHILIPS RD
WEBSTER, NY 14850
(43.26, -77.41)"
NY0020559,WEEDSPORT (V) WWTP,Surface,0.55,2601 EARL ST,WEEDSPORT,NY,USA,13166,43.05,-76.56,"2601 EARL ST
WEEDSPORT, NY 13166
(43.05, -76.56)"
NY0025151,WEST CARTHAGE WATER POL CTRL FAC,Surface,4.00,END OF ROAD OFF LATHROP ST,WEST CARTHAGE,NY,USA,13619,43.98,-75.62,"END OF ROAD OFF LATHROP ST
WEST CARTHAGE, NY 13619
(43.98, -75.62)"
NY0270598,WESTERN RAMAPO ADVANCED WWTP,Surface,1.50,137 ST RTE 17,HILLBURN,NY,USA,,41.11,-74.16,"137 ST RTE 17
HILLBURN, NY
(41.11, -74.16)"
NY0021334,WESTFIELD STP,Surface,2.60,OLD HAWLEY ST,WESTFIELD,NY,USA,14787,42.32,-79.58,"OLD HAWLEY ST
WESTFIELD, NY 14787
(42.32, -79.58)"
NY0020222,WESTPORT WWTP,Surface,0.18,18 MARKS RD,WESTPORT,NY,USA,12993,44.18,-73.43,"18 MARKS RD
WESTPORT, NY 12993
(44.18, -73.43)"
NY0029106,WEST SIDE WASTEWATER TREATMENT FACILITY,Surface,4.00,FIRST AVE AND WEST SCHUYLER ST,OSWEGO,NY,USA,13126,43.45,-76.52,"FIRST AVE AND WEST SCHUYLER ST
OSWEGO, NY 13126
(43.45, -76.52)"
NY0262676,WEST WINDSOR WASTEWATER TREATMENT PLANT,Surface,0.11,124 MAIN ST|FAIRVIEW DR & RTE 17,WINDSOR,NY,USA,,42.09,-75.77,"124 MAIN ST|FAIRVIEW DR &amp; RTE 17
WINDSOR, NY
(42.09, -75.77)"
NY0027618,WETZEL ROAD WASTEWATER TREATMENT PLANT,Surface,7.00,4020 WETZEL RD,LIVERPOOL,NY,USA,13090,43.14,-76.23,"4020 WETZEL RD
LIVERPOOL, NY 13090
(43.14, -76.23)"
NY0231321,WHISPERING OAKS SUBDIVISION STP,Ground,0.02,ST RTE 370 @ ASHINGTON DR,LYSANDER,NY,USA,,43.17,-76.37,"ST RTE 370 @ ASHINGTON DR
LYSANDER, NY
(43.17, -76.37)"
NY0024929,WHITEHALL STP,Surface,1.70,RIVERSIDE DR,WHITEHALL,NY,USA,12887,43.54,-73.40,"RIVERSIDE DR
WHITEHALL, NY 12887
(43.54, -73.40)"
NY0262552,WHITNEY POINT STP,Surface,0.15,US RTE 11 - E SIDE - S OF ST RTE 26,WHITNEY POINT,NY,USA,13862,42.32,-75.96,"US RTE 11 - E SIDE - S OF ST RTE 26
WHITNEY POINT, NY 13862
(42.32, -75.96)"
NY0065706,WILD OAKS SEWER DISTRICT,Surface,0.06,NASH RD,GOLDENS BRIDGE,NY,USA,10526,41.30,-73.66,"NASH RD
GOLDENS BRIDGE, NY 10526
(41.30, -73.66)"
NY0037117,WILDWOOD STP,Surface,0.10,NEW HACKENSACK RD,WAPPINGERS FALLS,NY,USA,12590,41.61,-73.90,"NEW HACKENSACK RD
WAPPINGERS FALLS, NY 12590
(41.61, -73.90)"
NY0108723,WILLIAMSON - T STP,Surface,0.63,7614 MAKEN RD,WILLIAMSON,NY,USA,14589,43.27,-77.17,"7614 MAKEN RD
WILLIAMSON, NY 14589
(43.27, -77.17)"
NY0202631,WILLIAMSVILLE - V SANITARY SEWER COLLECTION SYSTEM,Surface,0.00,WEST SIDE OF MILL ST @ EDWARD ST,WILLIAMSVILLE,NY,USA,14221,42.96,-78.74,"WEST SIDE OF MILL ST @ EDWARD ST
WILLIAMSVILLE, NY 14221
(42.96, -78.74)"
NY0239682,WILLSBORO SEWER DISTRICT NO. 1 WASTEWATER TREATMENT FACILITY,Surface,0.08,76 GILLILAND LN,WILLSBORO,NY,USA,12996,44.36,-73.39,"76 GILLILAND LN
WILLSBORO, NY 12996
(44.36, -73.39)"
NY0020419,WILSON STP,Surface,0.31,109 ONTARIO ST,WILSON,NY,USA,14172,43.31,-78.83,"109 ONTARIO ST
WILSON, NY 14172
(43.31, -78.83)"
NY0262935,WINDHAM WASTEWATER TREATMENT PLANT,Surface,0.45,SOUTH ST @ CO RTE 12 & ST RTE 23,WINDHAM,NY,USA,,42.30,-74.27,"SOUTH ST @ CO RTE 12 &amp; ST RTE 23
WINDHAM, NY
(42.30, -74.27)"
NY0215198,WINDSOR ESTATES WWTP,Surface,0.02,35 BRISTOL DR,MIDDLETOWN,NY,USA,10941,41.45,-74.32,"35 BRISTOL DR
MIDDLETOWN, NY 10941
(41.45, -74.32)"
NY0023132,WINEBROOK HILLS SD WWTP,Surface,0.04,43 HANMER LN,NEWCOMB,NY,USA,12852,43.95,-74.11,"43 HANMER LN
NEWCOMB, NY 12852
(43.95, -74.11)"
NY0020303,WOLCOTT - V STP,Surface,0.25,6365 W PORT BAY RD,WOLCOTT,NY,USA,14590,43.23,-76.82,"6365 W PORT BAY RD
WOLCOTT, NY 14590
(43.23, -76.82)"
NY0020478,WOODBURY VALLEY FORGE SEWER DIS 1 STP,Surface,0.06,SUTHERLAND DR,WOODBURY,NY,USA,11797,41.35,-74.09,"SUTHERLAND DR
WOODBURY, NY 11797
(41.35, -74.09)"
NY0272817,WOODRIDGE GREENFIELD RD WWTP,Surface,0.80,GREENFIELD RD & KRIEGER PARK RD,WOODRIDGE,NY,USA,12789,41.70,-74.56,"GREENFIELD RD &amp; KRIEGER PARK RD
WOODRIDGE, NY 12789
(41.70, -74.56)"
NY0149306,WOODSTOCK GUILD SYSTEM 3,Ground,0.01,UPPER BYRDCLIFF RD,WOODSTOCK,NY,USA,12498,42.05,-74.13,"UPPER BYRDCLIFF RD
WOODSTOCK, NY 12498
(42.05, -74.13)"
NY0109711,WOODSTOCK STP,Surface,0.23,ST RT 212 - S SIDE - W OF ZENA RD,WOODSTOCK,NY,USA,12498,42.03,-74.09,"ST RT 212 - S SIDE - W OF ZENA RD
WOODSTOCK, NY 12498
(42.03, -74.09)"
NY0085693,YAPANK COUNTY CENTER WWTF,Ground,0.25,YAPANK AVE,YAPANK,NY,USA,11980,40.81,-72.92,"YAPANK AVE
YAPANK, NY 11980
(40.81, -72.92)"
NY0026689,YONKERS JOINT WWTP,Surface,120.00,1 FERNBROOK ST |LUDLOW DOCK SOUTH,YONKERS,NY,USA,10705,40.91,-73.90,"1 FERNBROOK ST |LUDLOW DOCK SOUTH
YONKERS, NY 10705
(40.91, -73.90)"
